x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.758072,0.354355,-0.243027,0.871380,20529.861004,2001-01-01 06:42:09.861 +0100
-0.871887,0.391327,-0.317703,1.007104,20529.831603,2001-01-01 06:42:09.832 +0100
-0.948624,0.508331,-0.398727,1.147724,20529.802212,2001-01-01 06:42:09.802 +0100
-1.024109,0.629532,-0.412643,1.270978,20529.772820,2001-01-01 06:42:09.773 +0100
-0.944931,0.602570,-0.394669,1.188170,20529.743424,2001-01-01 06:42:09.743 +0100
-0.817047,0.502640,-0.362930,1.025637,20529.714031,2001-01-01 06:42:09.714 +0100
-0.758133,0.340515,-0.358902,0.905277,20529.684638,2001-01-01 06:42:09.685 +0100
-0.768631,0.170090,-0.349075,0.861149,20529.655246,2001-01-01 06:42:09.655 +0100
-1.067322,0.195221,-0.321960,1.131789,20529.625854,2001-01-01 06:42:09.626 +0100
-1.412766,0.525986,-0.335602,1.544408,20529.596462,2001-01-01 06:42:09.596 +0100
-1.488144,0.542847,-0.404785,1.634964,20529.567068,2001-01-01 06:42:09.567 +0100
-1.312286,0.322815,-0.341537,1.393898,20529.537672,2001-01-01 06:42:09.538 +0100
-1.342133,0.273468,-0.266388,1.395373,20529.508280,2001-01-01 06:42:09.508 +0100
-1.303223,0.197571,-0.266296,1.344744,20529.478887,2001-01-01 06:42:09.479 +0100
-1.215424,0.050507,-0.266357,1.245292,20529.449492,2001-01-01 06:42:09.449 +0100
-1.067307,0.018143,-0.214264,1.088752,20529.420102,2001-01-01 06:42:09.420 +0100
-0.914276,-0.015915,-0.198624,0.935738,20529.390710,2001-01-01 06:42:09.391 +0100
